,Class_label,x_1,x_2
175,0.0,15.4229816,47.680189299999995
2,0.0,-1.76754612,37.848575200000006
61,0.0,35.0829437,74.4592607
102,0.0,29.7599221,69.6178277
49,0.0,37.2606779,73.83580119999999
191,0.0,32.3072789,70.9975984
34,0.0,4.11344414,39.531679499999996
176,0.0,11.8956743,55.2030495
92,0.0,25.8628975,63.96464889999999
179,0.0,32.666227,69.2245024
128,0.0,24.550760500000003,59.2126147
96,0.0,26.350707399999997,58.868610499999996
161,0.0,14.313020499999999,56.965709700000005
108,0.0,34.9483263,69.6410469
27,0.0,17.043039800000003,52.012729799999995
21,0.0,33.4763291,70.94279379999999
76,0.0,47.2048018,79.40221149999999
132,0.0,14.806746900000002,51.5939934
156,0.0,23.160133399999996,55.967393799999996
68,0.0,30.4670316,66.8767557
66,0.0,19.64854,59.241476799999994
99,0.0,24.0076281,65.33150690000001
91,0.0,11.7996403,44.3465188
170,0.0,18.1341668,56.881541000000006
38,0.0,16.4162123,58.408753299999994
48,0.0,31.974407300000003,70.237662
84,0.0,11.5990222,54.614702199999996
136,0.0,12.292124699999999,47.6573253
163,0.0,16.2871987,56.268333
64,0.0,-1.69822761,40.4696245
147,0.0,28.053213699999997,67.5684463
6,0.0,20.4251573,56.752853599999995
104,0.0,22.3812032,61.1964377
139,0.0,23.43443,61.7819142
181,0.0,-1.68788701,37.9587104
88,0.0,9.1194285,46.430586299999995
77,0.0,19.0734367,61.101373200000005
71,0.0,13.561212,56.2290061
